ts,bid.curr.mth,target.7sec,baseline,R01_bid.curr.mth,R01_target.7sec
2015-06-01 11:29,77700,77900,77700,0,200
2015-06-01 11:29,77700,78000,77700,0,300
2015-06-01 11:29,77800,78000,77700,100,300
2015-06-01 11:29,77800,78000,77700,100,300
2015-06-01 11:29,77900,78000,77700,200,300
2015-06-01 11:29,77900,78000,77700,200,300
2015-06-01 11:29,77900,78000,77700,200,300
2015-06-01 11:29,77900,78100,77700,200,400
2015-06-01 11:29,78000,78100,77700,300,400
2015-06-01 11:29,78000,78100,77700,300,400
2015-06-01 11:29,78000,78100,77700,300,400
2015-06-01 11:29,78000,78100,77700,300,400
2015-06-01 11:29,78000,78200,77700,300,500
2015-06-01 11:29,78000,78200,77700,300,500
2015-06-01 11:29,78100,78300,77700,400,600
2015-06-01 11:29,78100,78300,77700,400,600
2015-06-01 11:29,78100,78300,77700,400,600
2015-06-01 11:29,78100,78400,77700,400,700
2015-06-01 11:29,78100,78400,77700,400,700
2015-06-01 11:29,78200,78500,77700,500,800
2015-06-01 11:29,78200,78500,77700,500,800
2015-06-01 11:29,78300,78500,77700,600,800
2015-06-01 11:29,78300,78600,77700,600,900
2015-06-01 11:29,78300,78600,77700,600,900
2015-06-01 11:29,78400,78600,77700,700,900
2015-06-01 11:29,78400,78700,77700,700,1000
2015-06-01 11:29,78500,78700,77700,800,1000
2015-06-01 11:29,78500,78700,77700,800,1000
2015-06-01 11:29,78500,78800,77700,800,1100
2015-06-01 11:29,78600,78900,77700,900,1200
2015-06-01 11:29,78600,79000,77700,900,1300
2015-06-01 11:29,78600,79000,77700,900,1300
2015-06-01 11:29,78700,79100,77700,1000,1400
2015-06-01 11:29,78700,79100,77700,1000,1400
2015-06-01 11:29,78700,79100,77700,1000,1400
2015-06-01 11:29,78800,79200,77700,1100,1500
2015-06-01 11:29,78900,79200,77700,1200,1500
2015-06-01 11:29,79000,79200,77700,1300,1500
2015-06-01 11:29,79000,79300,77700,1300,1600
2015-06-01 11:29,79100,79400,77700,1400,1700
2015-06-01 11:29,79100,79400,77700,1400,1700
2015-06-01 11:29,79100,79500,77700,1400,1800
2015-06-01 11:29,79200,79500,77700,1500,1800
2015-06-01 11:29,79200,79500,77700,1500,1800
2015-06-01 11:29,79200,79600,77700,1500,1900
2015-06-01 11:29,79300,79600,77700,1600,1900
2015-06-01 11:29,79400,79700,77700,1700,2000
2015-06-01 11:29,79400,79700,77700,1700,2000
2015-06-01 11:29,79500,79700,77700,1800,2000
2015-06-01 11:29,79500,79800,77700,1800,2100
2015-06-01 11:29,79500,79900,77700,1800,2200
2015-06-01 11:29,79600,79900,77700,1900,2200
2015-06-01 11:29,79600,79900,77700,1900,2200
2015-06-01 11:29,79700,80000,77700,2000,2300
2015-07-01 11:29,81400,81400,81400,0,0
2015-07-01 11:29,81400,81400,81400,0,0
2015-07-01 11:29,81400,81500,81400,0,100
2015-07-01 11:29,81400,81500,81400,0,100
2015-07-01 11:29,81400,81500,81400,0,100
2015-07-01 11:29,81400,81600,81400,0,200
2015-07-01 11:29,81400,81600,81400,0,200
2015-07-01 11:29,81400,81600,81400,0,200
2015-07-01 11:29,81400,81700,81400,0,300
2015-07-01 11:29,81500,81700,81400,100,300
2015-07-01 11:29,81500,81700,81400,100,300
2015-07-01 11:29,81500,81700,81400,100,300
2015-07-01 11:29,81600,81700,81400,200,300
2015-07-01 11:29,81600,81700,81400,200,300
2015-07-01 11:29,81600,81800,81400,200,400
2015-07-01 11:29,81700,81800,81400,300,400
2015-07-01 11:29,81700,81800,81400,300,400
2015-07-01 11:29,81700,81800,81400,300,400
2015-07-01 11:29,81700,81900,81400,300,500
2015-07-01 11:29,81700,81900,81400,300,500
2015-07-01 11:29,81700,82000,81400,300,600
2015-07-01 11:29,81800,82000,81400,400,600
2015-07-01 11:29,81800,82000,81400,400,600
2015-07-01 11:29,81800,82000,81400,400,600
2015-07-01 11:29,81800,82000,81400,400,600
2015-07-01 11:29,81900,82000,81400,500,600
2015-07-01 11:29,81900,82000,81400,500,600
