bid.time,bid.curr.mth
2016-01-01 11:29:35,81800
2016-01-01 11:29:36,81800
2016-01-01 11:29:37,81800
2016-01-01 11:29:38,81800
2016-01-01 11:29:39,81800
2016-01-01 11:29:40,81800
2016-01-01 11:29:41,81800
2016-01-01 11:29:42,81800
2016-01-01 11:29:43,81800
2016-01-01 11:29:44,81900
2016-01-01 11:29:45,81900
2016-01-01 11:29:46,81900
2016-01-01 11:29:47,82000
2016-01-01 11:29:48,82000
2016-01-01 11:29:49,82000
2016-01-01 11:29:50,82100
2016-01-01 11:29:51,82100
2016-01-01 11:29:52,82100
2016-01-01 11:29:53,82100
2016-02-01 11:29:35,82100
2016-02-01 11:29:36,82100
2016-02-01 11:29:37,82100
2016-02-01 11:29:38,82100
2016-02-01 11:29:39,82100
2016-02-01 11:29:40,82200
2016-02-01 11:29:41,82200
2016-02-01 11:29:42,82300
2016-02-01 11:29:43,82300
2016-02-01 11:29:44,82400
2016-02-01 11:29:45,82400
2016-02-01 11:29:46,82500
2016-02-01 11:29:47,82600
2016-02-01 11:29:48,82600
2016-02-01 11:29:49,82700
2016-02-01 11:29:50,82700
2016-02-01 11:29:51,82800
2016-02-01 11:29:52,82900
2016-02-01 11:29:53,83000
2016-03-01 11:29:35,82100
2016-03-01 11:29:36,82100
2016-03-01 11:29:37,82100
2016-03-01 11:29:38,82100
2016-03-01 11:29:39,82100
2016-03-01 11:29:40,82100
2016-03-01 11:29:41,82100
2016-03-01 11:29:42,82200
2016-03-01 11:29:43,82200
2016-03-01 11:29:44,82200
2016-03-01 11:29:45,82300
2016-03-01 11:29:46,82400
2016-03-01 11:29:47,82400
2016-03-01 11:29:48,82500
2016-03-01 11:29:49,82500
2016-03-01 11:29:50,82600
2016-03-01 11:29:51,82700
2016-03-01 11:29:52,82800
2016-03-01 11:29:53,82800
2016-04-01 11:29:35,84000
2016-04-01 11:29:36,84000
2016-04-01 11:29:37,84000
2016-04-01 11:29:38,84000
2016-04-01 11:29:39,84100
2016-04-01 11:29:40,84100
2016-04-01 11:29:41,84200
2016-04-01 11:29:42,84200
2016-04-01 11:29:43,84300
2016-04-01 11:29:44,84300
2016-04-01 11:29:45,84300
2016-04-01 11:29:46,84300
2016-04-01 11:29:47,84400
2016-04-01 11:29:48,84400
2016-04-01 11:29:49,84400
2016-04-01 11:29:50,84500
2016-04-01 11:29:51,84500
2016-04-01 11:29:52,84500
2016-04-01 11:29:53,84600
2016-05-01 11:29:35,84000
2016-05-01 11:29:36,84000
2016-05-01 11:29:37,84000
2016-05-01 11:29:38,84000
2016-05-01 11:29:39,84000
2016-05-01 11:29:40,84000
2016-05-01 11:29:41,84000
2016-05-01 11:29:42,84000
2016-05-01 11:29:43,84000
2016-05-01 11:29:44,84100
2016-05-01 11:29:45,84100
2016-05-01 11:29:46,84200
2016-05-01 11:29:47,84300
2016-05-01 11:29:48,84300
2016-05-01 11:29:49,84300
2016-05-01 11:29:50,84400
2016-05-01 11:29:51,84400
2016-05-01 11:29:52,84400
2016-05-01 11:29:53,84500
2016-06-01 11:29:35,83900
2016-06-01 11:29:36,84000
2016-06-01 11:29:37,84000
2016-06-01 11:29:38,84000
2016-06-01 11:29:39,84000
2016-06-01 11:29:40,84000
2016-06-01 11:29:41,84000
2016-06-01 11:29:42,84000
2016-06-01 11:29:43,84100
2016-06-01 11:29:44,84100
2016-06-01 11:29:45,84100
2016-06-01 11:29:46,84100
2016-06-01 11:29:47,84100
2016-06-01 11:29:48,84100
2016-06-01 11:29:49,84100
2016-06-01 11:29:50,84100
2016-06-01 11:29:51,84100
2016-06-01 11:29:52,84100
2016-06-01 11:29:53,84200
2016-07-01 11:29:35,85900
2016-07-01 11:29:36,85900
2016-07-01 11:29:37,86000
2016-07-01 11:29:38,86000
2016-07-01 11:29:39,86000
2016-07-01 11:29:40,86100
2016-07-01 11:29:41,86100
2016-07-01 11:29:42,86200
2016-07-01 11:29:43,86300
2016-07-01 11:29:44,86300
2016-07-01 11:29:45,86300
2016-07-01 11:29:46,86400
2016-07-01 11:29:47,86500
2016-07-01 11:29:48,86500
2016-07-01 11:29:49,86600
2016-07-01 11:29:50,86600
2016-07-01 11:29:51,86600
2016-07-01 11:29:52,86700
2016-07-01 11:29:53,86800
2016-08-01 11:29:35,85700
2016-08-01 11:29:36,85700
2016-08-01 11:29:37,85700
2016-08-01 11:29:38,85700
2016-08-01 11:29:39,85700
2016-08-01 11:29:40,85700
2016-08-01 11:29:41,85800
2016-08-01 11:29:42,85800
2016-08-01 11:29:43,85900
2016-08-01 11:29:44,86000
2016-08-01 11:29:45,86000
2016-08-01 11:29:46,86100
2016-08-01 11:29:47,86200
2016-08-01 11:29:48,86200
2016-08-01 11:29:49,86200
2016-08-01 11:29:50,86300
2016-08-01 11:29:51,86300
2016-08-01 11:29:52,86300
2016-08-01 11:29:53,86300
2016-09-01 11:29:35,85400
2016-09-01 11:29:36,85400
2016-09-01 11:29:37,85400
2016-09-01 11:29:38,85400
2016-09-01 11:29:39,85400
2016-09-01 11:29:40,85400
2016-09-01 11:29:41,85400
2016-09-01 11:29:42,85400
2016-09-01 11:29:43,85400
2016-09-01 11:29:44,85500
2016-09-01 11:29:45,85600
2016-09-01 11:29:46,85700
2016-09-01 11:29:47,85700
2016-09-01 11:29:48,85900
2016-09-01 11:29:49,85900
2016-09-01 11:29:50,85900
2016-09-01 11:29:51,85900
2016-09-01 11:29:52,86000
2016-09-01 11:29:53,86000
2016-10-01 11:29:35,87500
2016-10-01 11:29:36,87500
2016-10-01 11:29:37,87500
2016-10-01 11:29:38,87500
2016-10-01 11:29:39,87500
2016-10-01 11:29:40,87500
2016-10-01 11:29:41,87500
2016-10-01 11:29:42,87500
2016-10-01 11:29:43,87600
2016-10-01 11:29:44,87700
2016-10-01 11:29:45,87700
2016-10-01 11:29:46,87900
2016-10-01 11:29:47,87900
2016-10-01 11:29:48,88000
2016-10-01 11:29:49,88000
2016-10-01 11:29:50,88000
2016-10-01 11:29:51,88000
2016-10-01 11:29:52,88000
2016-10-01 11:29:53,88000
2016-11-01 11:29:35,87600
2016-11-01 11:29:36,87600
2016-11-01 11:29:37,87600
2016-11-01 11:29:38,87600
2016-11-01 11:29:39,87700
2016-11-01 11:29:40,87700
2016-11-01 11:29:41,87700
2016-11-01 11:29:42,87700
2016-11-01 11:29:43,87700
2016-11-01 11:29:44,87700
2016-11-01 11:29:45,87700
2016-11-01 11:29:46,87700
2016-11-01 11:29:47,87700
2016-11-01 11:29:48,87800
2016-11-01 11:29:49,87800
2016-11-01 11:29:50,88000
2016-11-01 11:29:51,88000
2016-11-01 11:29:52,88100
2016-11-01 11:29:53,88100
2016-12-01 11:29:35,87400
2016-12-01 11:29:36,87400
2016-12-01 11:29:37,87400
2016-12-01 11:29:38,87400
2016-12-01 11:29:39,87400
2016-12-01 11:29:40,87400
2016-12-01 11:29:41,87400
2016-12-01 11:29:42,87400
2016-12-01 11:29:43,87400
2016-12-01 11:29:44,87500
2016-12-01 11:29:45,87600
2016-12-01 11:29:46,87700
2016-12-01 11:29:47,87700
2016-12-01 11:29:48,87800
2016-12-01 11:29:49,87800
2016-12-01 11:29:50,87900
2016-12-01 11:29:51,87900
2016-12-01 11:29:52,87900
2016-12-01 11:29:53,87900
2017-01-01 11:29:35,86600
2017-01-01 11:29:36,86600
2017-01-01 11:29:37,86600
2017-01-01 11:29:38,86600
2017-01-01 11:29:39,86600
2017-01-01 11:29:40,86600
2017-01-01 11:29:41,86600
2017-01-01 11:29:42,86700
2017-01-01 11:29:43,86800
2017-01-01 11:29:44,86900
2017-01-01 11:29:45,86900
2017-01-01 11:29:46,86900
