ts,bid
2015-06-01 11:29,77700
2015-06-01 11:29,77700
2015-06-01 11:29,77800
2015-06-01 11:29,77800
2015-06-01 11:29,77900
2015-06-01 11:29,77900
2015-06-01 11:29,77900
2015-06-01 11:29,77900
2015-06-01 11:29,78000
2015-06-01 11:29,78000
2015-06-01 11:29,78000
2015-06-01 11:29,78000
2015-06-01 11:29,78000
2015-06-01 11:29,78000
2015-06-01 11:29,78100
2015-06-01 11:29,78100
2015-06-01 11:29,78100
2015-06-01 11:29,78100
2015-06-01 11:29,78100
2015-06-01 11:29,78200
2015-06-01 11:29,78200
2015-06-01 11:29,78300
2015-06-01 11:29,78300
2015-06-01 11:29,78300
2015-06-01 11:29,78400
2015-06-01 11:29,78400
2015-06-01 11:29,78500
2015-06-01 11:29,78500
2015-06-01 11:29,78500
2015-06-01 11:29,78600
2015-06-01 11:29,78600
2015-06-01 11:29,78600
2015-06-01 11:29,78700
2015-06-01 11:29,78700
2015-06-01 11:29,78700
2015-06-01 11:29,78800
2015-06-01 11:29,78900
2015-06-01 11:29,79000
2015-06-01 11:29,79000
2015-06-01 11:29,79100
2015-06-01 11:29,79100
2015-06-01 11:29,79100
2015-06-01 11:29,79200
2015-06-01 11:29,79200
2015-06-01 11:29,79200
2015-06-01 11:29,79300
2015-06-01 11:29,79400
2015-06-01 11:29,79400
2015-06-01 11:29,79500
2015-06-01 11:29,79500
2015-06-01 11:29,79500
2015-06-01 11:29,79600
2015-06-01 11:29,79600
2015-06-01 11:29,79700
2015-06-01 11:29,79700
2015-06-01 11:29,79700
2015-06-01 11:29,79800
2015-06-01 11:29,79900
2015-06-01 11:29,79900
2015-06-01 11:29,79900
2015-06-01 11:30,80000
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81400
2015-07-01 11:29,81500
2015-07-01 11:29,81500
2015-07-01 11:29,81500
2015-07-01 11:29,81600
2015-07-01 11:29,81600
2015-07-01 11:29,81600
